YEAR,Agriculture_(Total),Agriculture_Crop_Production,Agriculture_Livestock,Agriculture_Forestry,Agriculture_Fishing,Industry_(Total),Industry_Crude_Petroleum_and_Natural_Gas,Industry_Solid_Minerals,Industry_Solid_Minerals_Coal_Mining,Industry_Solid_Minerals_Metal_Ores,Industry_Solid_Minerals_Quarrying_and_Other_Mining,Industry_Manufacturing,Industry_Manufacturing_Oil_Refining,Industry_Manufacturing_Cement,Industry_Manufacturing_Food_Beverage_and_Tobacco,Industry_Manufacturing_Textile_Apparel_and_Footwear,Industry_Manufacturing_Wood_and_Wood_Products,Industry_Manufacturing_Pulp_Paper_and_Paper_Products,Industry_Manufacturing_Chemical_and_Pharmaceautical_Products,Industry_Manufacturing_Non_Metallic_Products,Industry_Manufacturing_Plastic_and_Rubber_Products,Industry_Manufacturing_Electrical_and_Electronics,Industry_Manufacturing_Basic_Metal_Iron_and_Steel,Industry_Manufacturing_Motor_Vehicles_and_Assembly,Industry_Manufacturing_Other_Manufacturing,Construction,Trade,Services_(Total),Services_Transport,Services_Transport_Road_Transport,Services_Transport_Rail_Transport_and_Pipelines,Services_Transport_Water_Transport,Services_Transport_Air_Transport,Services_Transport_Transport_Services,Services_Transport_Post_and_Courier_Services,Services_Information_and_Communication,Services_Information_and_Communication_Tele_and_Inform_Services,Services_Information_and_Communication_Publishing,Services_Info_and_CoM_Motion_Pictures_and_Music,Services_Information_and_Communication_Broadcasting,Services_Utilities,Services_Electricity_Gas_Steam_and_Air_Conditioner,Services_Utilities_Water_Supply_Sewage_and_Waste_Mang,Services_Accomodation_and_Food_Services,Service_Finance_and_Insurance,Service_Finance_and_Insurance_Financial_Institutions,Service_Finance_and_Insurance_Insurance,Services_Real_Estate,Services_Professional_Scientific_and_Technical_Serv,Services_Administrative_and_Support_Services_Business_Services,Services_Public_Administration,Services_Education,Services_Human_Health_and_Social_Services,Services_Arts_Entertainment_and_Recreation,Services_Other_Services,Total_GDP,Date_year
1981,2364373.15,1854764.44,341411.5,77897.99,90299.23,6603250.12,4977416.7,67136.73,21325.68,7862.97,37948.08,1558696.7,36577.19,190943.09,986251.14,151269.65,52941.7,10450.34,10798.73,25551.05,14528.47,1075.51,19083,9392.89,49833.92,851561.61,1770381.46,3668438,264512.65,222110.99,9456.89,5743.79,18657.18,4479.49,4064.31,263409.45,16489.4,1293.93,70652.87,174973.25,18393.65,6162.77,12230.88,53784.58,282170.74,196908.7,85262.04,1063959.81,421381.98,3234.81,807075.54,242555.85,110697.65,4561.07,132700.2,15258004.34,1981
1982,2425960.89,1897078.85,361115.7,73910.25,93856.08,6272828.03,4453093.63,54840.5,10288.71,5870.91,38680.88,1764893.89,38492.03,223847.12,1113223.11,170744.41,59757.52,11795.74,12188.99,28840.55,16398.89,1213.98,21539.79,10602.15,56249.64,679200.42,1846954.23,3760134.76,211891.35,168113.52,10163.79,4662.73,21236.87,4515.52,3198.92,281235.38,16170.41,1304.33,71221.17,192539.46,17174.34,6822,10352.34,50804.26,372267.76,242667.23,129600.53,1074049.33,423670.54,3252.38,825921.69,248219.81,113282.57,4597.76,133767.58,14985078.32,1982
1983,2409081.92,1842704.31,393131.01,75282.78,97963.82,5264881.39,4052977.68,44014.84,9727.5,4822.26,29465.08,1167888.87,27862.76,79268.8,785901.18,120540.29,42186.97,8327.43,8605.05,20360.54,11577.11,857.03,15206.43,7484.79,39710.51,598782.27,1801783.24,3775196.35,178322.31,132241.33,9206.89,7207.65,22526.72,4247.23,2892.49,278786.5,10453.1,1226.84,66989.52,200117.04,22263.13,6560.15,15702.98,42696.03,336896.5,251212.5,85684,1086703.98,481170.73,3693.79,844767.84,253883.77,115867.49,4324.58,125819.69,13849725.17,1983
1984,2303505.42,1759115.15,399685.38,76694.14,68010.74,5621181.44,4559196.21,43078.37,14030.06,3683.94,25364.37,1018906.87,27432.9,49854.59,697633.45,107001.92,37448.78,7392.14,7638.58,18073.76,10276.84,760.77,13498.53,6644.14,35250.46,488143.29,1662300.57,3704124.78,170279.79,127536.08,9422.41,4809.83,22044.65,3480.05,2986.78,253756.74,15311.59,1005.23,54889.09,182550.83,19310.83,6934.55,12376.28,35968.39,267287.62,200951.62,66336,1086931.99,518359.9,3979.28,863613.99,259547.73,118452.41,3543.43,103092.67,13779255.49,1984
1985,2731062.47,2180907.71,428102.85,78082.45,43969.46,6379599.38,4918272.5,44539.09,26189.44,2670.37,15679.28,1416787.79,39078.2,249272.96,836043.9,128231.1,44878.61,8858.74,9154.07,21659.6,12315.76,911.71,16176.64,7962.34,42244.15,336270.79,1727979.4,3779001.01,203571.16,163512.02,6905.17,4092.08,22683.06,3334.81,3044.02,202382.95,18452.43,963.28,52598.4,130368.85,15498.05,7832.67,7665.38,33192.6,254993.44,197368.12,57625.31,1091378.22,602464.66,4624.92,882460.14,265211.69,121037.33,3395.55,98790.3,14953913.05,1985
1986,2986835.38,2427100.66,421627.97,86594.92,51511.83,6234407.31,4825497.52,35247.69,26189.44,623.74,8434.52,1373662.1,19656.33,269464.07,803522.72,123243.05,43132.88,8514.15,8797.99,20817.06,11836.69,876.25,15547.39,7652.62,40600.9,335758.58,1788770.07,3892215.95,180153.29,144758.15,6663.79,3042.92,19113.18,3470.62,3104.63,202891.59,18329.74,1002.51,54740.46,128818.89,13521.65,5117.65,8404,33674.71,303107.42,240186.35,62921.07,1100909.11,650810.59,4996.06,901306.29,270875.65,123622.25,3533.83,102813.51,15237987.29,1986
1987,2891672.33,2329995.84,433433.52,87594.28,40648.69,6135330.33,4704423.43,32805.99,21512.75,2073.92,9219.32,1398100.91,28917.87,229331.12,844501.33,129528.29,45332.61,8948.36,9246.68,21878.71,12440.35,920.93,16340.28,8042.89,42671.5,367003.84,1900938.6,3968983.99,180220.12,146495,4926.72,2852.76,19304.71,3505.32,3135.61,204924.6,18513.77,1012.53,55287.77,130110.52,14428.83,5353.09,9075.74,34166.32,328771.54,259390.23,69381.31,1112486.41,658620.31,5056.01,920152.44,276539.61,126207.17,3569.16,103841.48,15263929.11,1987
1988,3174567.62,2581595.05,444269.94,88907.95,59794.67,6474984.23,4828682.26,28047.35,15526.59,2362.4,10158.35,1618254.62,33060.16,298878.28,953014.79,146171.91,51157.58,10098.17,10434.82,24689.99,14038.86,1039.27,18439.91,9076.35,48154.53,404395.72,2073797.26,4087626.1,180520.22,148253.21,3843.1,3154.57,18542.52,3540.03,3186.79,206974.83,18697.81,1022.55,55835.09,131419.38,15884.24,5395.81,10488.43,34220.38,398174.24,319758.41,78415.83,1123077.56,665199.94,5106.52,938998.58,282203.57,128792.08,3604.5,104869.45,16215370.93,1988
1989,3325947.09,2710674.81,453155.59,67307.31,94809.39,7100757.71,5407009.46,28658.81,15339.53,2409.18,10910.1,1665089.44,43025.1,314582.48,968696.16,148577.09,51999.35,10264.33,10606.52,25096.25,14269.86,1056.37,18743.33,9225.7,48946.89,421214.38,2156748.99,4290007.77,180955.41,151218.56,2828.45,2725.51,17355.6,3592.69,3234.61,210156.89,19070.78,1037.77,56665.68,133382.66,17258.02,5836.14,11421.88,34562.24,539660.77,451834.25,87826.51,1139870.62,675183.8,5183.16,957844.73,287867.53,131377,3658.12,106429.47,17294675.94,1989
1990,3464716.26,2828589.58,462218.99,72613.57,101294.12,8531586.58,6831767.68,29085.34,15526.59,2144.09,11414.65,1670733.56,42517.08,221105.12,1042510.35,159898.6,55961.68,11046.47,11414.73,27008.57,15357.22,1136.86,20171.56,9928.69,52676.62,442274.21,2221451.35,4645604.76,184574.49,154243.1,2885.34,2780.09,17702.17,3664.53,3299.26,214360.46,19451.12,1058.52,57798.79,136052.03,19364.32,6362.84,13001.49,34907.75,785397.02,700677.97,84719.06,1196554.34,688686.33,5286.82,976690.88,293531.49,133961.92,3731.26,108557.67,19305633.16,1990
1991,3590837.44,2955875.91,454823.21,74791.9,105346.41,8094631.17,6224452.07,40843.65,27498.91,1473.58,11871.17,1829335.45,45330.71,246032.41,1139463.52,174769.12,61166.1,12073.79,12476.3,29520.36,16785.44,1242.59,22047.51,10852.06,57575.53,459966.2,2292538.47,4761087.05,189855.95,160413.02,2284.48,2791.97,17967.95,3719.52,2679.01,217683.2,19841.27,1074.4,58666.1,138101.43,19910.44,6362.84,13547.6,35256.92,816813.34,728705.52,88107.82,1244151.79,699013.48,5366.09,987039.13,296641.52,135381.28,3787.25,110186.65,19199060.32,1991
1992,3674792.83,3044552.16,458916.79,76512.11,94811.77,8170469.68,6381259.61,30604.35,17397.27,873.23,12333.85,1758605.72,44431.91,250519.33,1084402.41,166323.93,58210.43,11490.36,11873.42,28093.88,15974.33,1182.55,20982.14,10327.67,54793.37,477904.06,2363606.26,4933417.51,199200.21,170037.73,1644.83,2538.19,17616.18,3968.74,3394.55,229286.43,20535.69,1146.39,62596.99,145007.36,21457.39,7096.72,14360.67,35961.82,848163.28,757854.08,90309.21,1292347.78,719982.46,5527.07,1015430.73,305174.24,139275.44,4041.02,117569.65,19620190.34,1992
1993,3743665.81,3132843.73,461670.56,78042.4,71109.13,8122084.58,6394602.56,20780.57,6921.49,908.31,12950.76,1706701.44,44002.05,259493.15,1039617.1,159454.83,55806.37,11015.81,11383.05,26933.62,15314.6,1133.71,20115.58,9901.14,52530.43,501799,2434513.56,5125930.3,205296.63,178539.52,1304.31,2873.31,14727.7,4365.64,3486.14,245077.08,21254.64,1261.04,68857.04,153704.36,22713.3,7203.99,15509.31,36500.91,879581.83,786652.55,92929.28,1346312.46,748789.76,5748.21,1044823.11,314007.73,143306.87,4445.14,129327.27,19927993.25,1993
1994,3839675.45,3226829.55,466287.56,80071.46,66486.88,7917396.42,6229458.63,17213.58,2806.01,1068.15,13339.42,1670724.21,43337.72,236809.31,1030260.39,158019.72,55304.1,10916.67,11280.6,26691.21,15176.77,1123.5,19934.54,9812.03,52057.65,516853.08,2434987.29,5270211.2,205592.73,181217.43,60.34,2586.04,13255.45,4963.75,3509.72,255672.09,21468.12,1433.81,78290.83,154479.34,23602.94,7737.11,15865.83,36683.53,905503.88,810252.19,95251.7,1386533.73,774993.83,5949.37,1059736.86,318489.86,145352.42,5054.15,147045.81,19979123.44,1994
1995,3977381.94,3336541.36,485872.07,81832.93,73135.57,7985544.28,6375970.58,17082.56,2244.81,1138.32,13699.43,1592491.14,46073.2,232322.4,973596.15,149328.64,52262.38,10316.25,10660.17,25223.2,14342.05,1061.71,18838.14,9272.37,49194.48,530808.44,2436692.73,5422774.86,208584.08,183029.35,44.83,2715.41,13454.79,5757.93,3581.78,271824.96,22540.42,1663.21,90817.05,156804.28,23637.91,7613.31,16024.6,37050.22,942010.42,844282.57,97727.85,1430716.7,803658.1,6169.42,1059116.81,318303.51,145267.38,5862.79,170572.55,20353202.25,1995
1996,4133548.21,3462995.96,499962.45,82241.9,88347.9,8450310.2,6832836.74,17535.35,2431.88,1239.67,13863.8,1599938.11,51348.75,221354.39,983330.98,150821.76,52784.94,10419.4,10766.76,25475.4,14485.45,1072.33,19026.5,9365.08,49686.37,537177.87,2457403.59,5599481.04,213741.06,186689.8,49.14,2796.93,13858.69,6621.62,3724.88,291524.87,23666.71,1912.69,104439.65,161505.82,23949.01,7780.75,16168.26,37902.68,978712.5,878053.84,100658.67,1445024.44,832579.84,6391.44,1089767.77,327515.25,149471.43,6742.22,196158.52,21177920.91,1996
1997,4305679.63,3611905.26,512461.13,82982.17,98331.07,8561916.92,6933580.95,18504.63,2618.94,1134.42,14751.27,1609831.34,50528.11,228084.76,986282.3,151274.43,52943.37,10450.67,10799.08,25551.86,14528.92,1075.55,19083.61,9393.19,49835.49,571557.91,2494263.94,5855679.44,220749.79,192287.28,54.31,2866.93,13996.79,7614.86,3929.62,320193.4,25084.99,2199.59,120105.51,172803.31,24144.68,7733.9,16410.78,39040.02,1019113.26,914931.72,104181.54,1536907.47,861730.43,6615.22,1108613.92,333179.21,152056.35,7753.54,225582.13,21789097.84,1997
1998,4475241.38,3752769.63,526297.84,83977.89,112196.02,8515828.8,7083987.57,19397.26,2618.94,1142.22,15636.1,1412443.97,45348.74,87794.12,947817.41,145374.74,50878.59,10043.1,10377.91,24555.34,13962.3,1033.6,18339.35,9026.85,47891.92,605850.87,2569092.6,6166853.26,229603.77,199017.43,56.9,2910,14276.91,9137.81,4204.72,363181.39,26338.88,2639.5,144126.26,190076.75,23814.02,7231.09,16582.93,40289.13,1068611.69,960678.31,107933.39,1628648,904812.66,6945.95,1127460.07,338843.17,154641.27,9304.23,270697.9,22332866.9,1998
1999,4703643.68,3949415.21,541034.01,85070.09,128124.37,8031917.62,6552688.51,20205.61,2806.01,1169.5,16230.1,1459023.5,47439.42,87508.77,980990.03,150462.71,52659.28,10394.6,10741.13,25414.75,14450.96,1069.77,18981.21,9342.78,49568.08,628872.48,2633319.28,6451656.65,238121.84,204987.79,59.48,2959.44,14633.9,10965.36,4515.86,414810.81,27708.09,3167.4,172951.34,210983.98,24430.24,7325.04,17105.2,41698.94,1106336.87,994301.64,112035.23,1690330.88,944633.69,7251.64,1146306.22,344507.13,157226.19,11165.06,324837.15,22449409.72,1999
2000,4840971.2,4067897.64,553478.21,86346.14,133249.2,8808652.44,7281943.86,21044.68,2993.08,1204.59,16847.01,1505663.91,46983.27,87128.29,1016165.14,155857.81,54547.47,10767.31,11126.27,26326.04,14969.13,1108.13,19661.81,9677.79,51345.43,654027.49,2675452.58,6709176.63,246347.5,211342.62,62.07,3028.03,15217.58,11842.58,4854.61,455906.8,29398.74,3420.79,186787.27,236300,25175.24,7471.58,17703.66,43241.69,1151591.52,1033079.7,118511.82,1756078.06,985255.71,7563.48,1165152.37,350171.09,159811.1,12058.26,350823.8,23688280.33,2000
2001,5024542.11,4222477.41,570082.86,88072.9,143908.93,9351860.34,7662979.86,22392.33,2729.95,1130.71,18531.67,1666488.14,136775.88,100750.78,1058698.82,162381.56,56830.67,11218,11591.98,27427.97,15595.69,1154.52,20484.8,10082.87,53494.6,732511.6,2742338.22,7416289.75,257692.1,220430.22,65.5,3100.68,15826.04,13026.76,5242.91,814982.89,339917.31,3762.88,205466.27,265836.44,107926.37,89797.53,18128.83,45187.82,1202819.32,1079568.64,123250.68,1843817.31,1034522.14,7941.68,1183998.81,355834.04,162396.48,13264.1,385906.69,25267542.02,2001
2002,7817084.5,6977878.78,597498.38,88690.22,153017.1,9061670.24,7225678.21,22178.82,1706.22,1136.05,19336.56,1813813.2,125998.31,101830.39,1175035.12,180225.04,63075.57,12450.7,12865.78,30441.93,17309.44,1281.38,22735.79,11190.84,59372.92,764328.51,2920109.32,8394517.68,306998.99,261509.63,67.91,2850.09,18836.82,15184.9,8549.63,946490.71,422730.57,4328.72,236363.26,283068.16,121837.05,102348.75,19488.3,48280.19,1556688.44,1397176.75,159511.69,1899131.7,1101586.29,8456.51,1398328.26,383826.62,163696.81,15258.69,443937.41,28957710.24,2002
2003,8364832.1,7493024.2,622559.31,90021.5,159227.1,10893905.26,8952615.17,23196.92,1706.22,1093.38,20397.32,1918093.17,137959.61,105888.64,1240426.1,190254.6,66585.74,13143.59,13581.77,32136.03,18272.72,1352.69,24001.04,11813.61,62677.03,831207.14,3088307.85,8531195.03,310767.94,264597.72,71.28,2838.21,20226.47,15182.12,7852.14,1075802.32,536439.55,4385.42,239459.32,295518.03,140964.63,119876.17,21088.46,50518.09,1396781.71,1268021.77,128759.94,1956105.96,1150016.24,8828.29,1398328.26,410827.47,167043.13,15458.56,449752.43,31709447.39,2003
2004,8888573.4,7956655.07,663025.91,95873.02,173019.4,11418598.38,9248051.63,27092.8,1876.84,1212.5,24003.46,2143453.96,151756.06,116476.53,1389326.92,213092.78,74578.7,14721.35,15212.12,35993.64,20466.18,1515.07,26882.13,13231.72,70200.79,774859.94,4220216.79,9718300.57,465192.71,415909.74,75.61,3005.63,21419.83,16077.86,8704.04,1450393.52,852513.97,4861.2,265438.84,327579.5,163646.34,140269.94,23376.4,123333.68,1442451.57,1299722.16,142729.42,2168328.64,1189538.1,9131.69,1550036.28,455399.14,185166.04,17135.7,498547.16,35020549.08,2004
2005,9516991.54,8524146.88,707871.01,101546.8,183426.85,11674741.16,9294051.43,29699.41,2064.53,1344.66,26290.23,2350990.31,166931.62,129365.92,1522294.93,233487.2,81716.39,16130.28,16668.02,39438.47,22424.93,1660.07,29454.93,14498.08,76919.48,868587,4790507.21,10624122.25,495131.85,442531.47,80.38,3182.96,22662.16,17026.45,9648.43,1765773.72,1112658.88,5371.63,293309.92,354433.29,175225.36,149394.44,25830.92,136217.44,1491761.93,1333547.42,158214.5,2408823.7,1252578.92,9615.63,1612037.73,503443.75,203682.65,18934.95,550894.61,37474949.16,2005
2006,10222474.98,9162650.26,756734.19,107658.07,195432.46,11481759.72,8874699.94,32768.85,2270.98,1508.79,28989.08,2574290.94,183661.5,144278.32,1664292.08,255266.5,89338.75,17634.89,18222.79,43117.23,24516.69,1814.92,32202.44,15850.44,84094.4,981454.9,5521460.53,11788354.41,529994.75,473395.88,85.45,3374.8,24371.24,18068.87,10698.49,2213220.47,1497577.11,5941.59,324431.57,385270.2,184996.26,156346.07,28650.19,153803.64,1573206.14,1397108.18,176097.95,2690065.81,1336327.25,10258.54,1683796.99,557670.18,224723.07,20944.04,609347.28,39995504.55,2006
2007,10958469.13,9826769.09,809164.94,114249.34,208285.76,11332356.55,8471948.32,36873.3,2497.97,1689.86,32685.46,2823534.93,202174.85,161597.69,1822405.7,279517.72,97826.25,19310.26,19954.02,47213.52,26845.86,1987.34,35261.78,17356.29,92083.66,1109313.11,6360814.1,13161455.03,567508.51,506584.02,90.85,3578.79,26213.74,19177.49,11863.61,2800414.19,2016072.65,6572.71,358893,418875.83,195477.42,163697.56,31779.86,173722.35,1660355.89,1464308.85,196047.04,3005424.89,1425797.48,10945.37,1758817.75,617776.19,247973.54,23168.73,674072.73,42922407.93,2007
2008,11645370.98,10437994.13,864188.16,121218.55,221970.14,11068224.99,7947718.35,41469.03,2717.32,1892.31,36859.4,3079037.61,222392.31,180423.83,1982777.38,304115.27,106434.96,21009.56,21709.97,51368.31,29208.29,2162.23,38364.82,18883.64,100187.03,1254300.33,7252600.24,14792018.78,607812.56,542196.87,96.38,3795.32,28203.38,20362.66,13157.95,3575143.02,2715045.02,7275.99,397294.55,455527.46,204585.9,169345.13,35240.77,196202.04,1749113.29,1531520.62,217592.68,3359764.49,1521040.73,11676.53,1836909.25,684310.68,273614,25647.79,746198.5,46012515.31,2008
2009,12330325.55,11046155.59,920199.22,128313.12,235657.62,11353421.8,7983627.96,46382.16,2957.85,2110.21,41314.1,3323411.68,237845.13,199970.58,2137900.21,327907.77,114761.91,22653.25,23408.46,55387.11,31493.41,2331.39,41366.3,20361,108025.17,1404496.02,8085442.3,16682413.42,650212.48,579682.27,101.92,4010.28,30436.83,21475.53,14505.65,4596652.8,3657881.2,7995.81,436599.29,494176.51,213146.57,174316.05,38830.52,219532.31,1827969.52,1589494.96,238474.56,3727341.54,1615164.11,12399.08,1918003.57,752791.76,300993.87,28185.15,820020.66,49856099.08,2009
2010,13048892.8,11683896.37,979564.05,135720.9,249711.48,12033195.91,8402676.4,51877.8,3218.23,2354.84,46304.72,3578641.72,255160.05,221087.82,2298522.91,352543.82,123384.1,24355.21,25167.16,59548.4,33859.54,2506.55,44474.19,21890.75,116141.22,1570973.47,8992649.98,18966552.02,694771.81,619136.86,107.77,4225.75,32673.9,22646.26,15981.28,5955059.67,4931991.14,8775.89,479194.45,535098.2,222264.52,179472.19,42792.33,245760.58,1908805.12,1648736.84,260068.28,4127988.21,1711698.01,13140.14,1998470.88,826671.62,330963.66,30934.93,900022.87,54612264.18,2010
2011,13429378.77,12017192,999404.04,142459.38,270323.35,12874246.2,8598636.62,59418.27,3874.69,2706.97,52836.61,4216191.3,270998.55,238202.04,2466513.33,571846.1,130265.97,28516.2,38941.48,99035.36,76111.58,4568.55,103031.76,26293.05,161867.32,1817829.82,9640904.56,19748682.42,736243.25,637003.73,121.82,3814.06,51889.95,26960.75,16452.94,6083046.66,4992420.11,12116.7,481559.47,596950.39,294545.98,250387.14,44158.85,268417.08,1394696.6,1129561.89,265134.71,4145866.08,2031465.7,13824.97,2307377.38,1087670.16,374115.55,76814.53,934598.47,57511041.77,2011
2012,14329705.62,12919542.05,972762.79,146094.08,291306.71,13028045.51,8173255.83,71130.26,4576.63,2889.58,63664.04,4783659.43,223520.19,270345.66,2628306.89,815285.85,157343.7,30348.04,61899.43,112063.11,106425.78,4525.31,124491.86,35317.97,213785.65,1989464.28,9853678.82,20728998.81,711076.24,601854.84,146.86,3750.51,54099.7,33392.3,17832.03,6268513.42,5176559.39,12631.74,491893.6,587428.68,332942.13,286970.94,45971.19,310950.38,1687905.91,1461704.34,226201.57,4379936.8,2190072.53,13370.39,1838732.42,1105896.41,390300.73,97834.04,1401467.4,59929893.04,2012
2013,14750523.21,13247801.8,1030937.33,154314.17,317469.91,13014509.97,7105283.4,82868.12,5496.76,3326.64,74044.72,5826358.45,344710.73,376446.41,2938606.11,1096388.66,171312.06,44017.16,92636.14,148213.28,138509.58,4759.19,141109.72,44401.45,285247.96,2272376.69,10507899.27,22673412.58,738078.52,616125.63,159.66,3919.2,59139.72,39136.21,19598.11,6783070.36,5420654.36,14230.59,610870.38,737315.03,395577.89,328764.36,66813.53,540627.4,1833645.51,1592125.49,241520.01,4904636.97,2265110.18,13720.21,1828842.45,1278414,427717.45,112444.89,1551526.76,63218721.73,2013
2014,15380389.34,13793450.01,1086847,161338.2,338754.12,13791247.37,7011814.77,95214.87,6587.7,3878.94,84748.23,6684217.74,311383.84,488279.07,3104004.91,1438342.87,193065.36,50243.71,127773.72,198958.94,180371.28,5067.19,163112.52,55773.39,367840.93,2568464.75,11125795.61,24286888.77,770690.9,639304.77,171.8,4261.77,60867.24,44692.9,21392.43,7257062.04,5677875.45,16051.42,735768.14,827367.03,382441.31,300206.38,82234.93,639714.73,1982669.74,1723775.9,258893.84,5155727.95,2390438.12,13982.48,1874943.17,1391953.38,472633.66,129182.67,1825448.63,67152785.84,2014
2015,15952220.14,14274936.74,1151323.39,167258.41,358701.61,13319126.19,6629963.75,102543.81,7272.05,4160.92,91110.83,6586618.64,200883.05,596173.72,2937062.39,1423019.65,205212.33,53671.22,150992.61,227227.04,212628.01,5134.31,168192.21,52678.91,353743.18,2680216,11697587.66,25374779.95,805455.74,667810.6,176.39,4621.74,63120.21,47111.52,22615.28,7708113.83,5933089.01,17703.14,765640.63,991681.06,367314.74,272431.57,94883.16,654215.32,2123896.82,1851828.28,272068.54,5264695.89,2516073.97,14473.98,1644782.79,1498707.07,484336.5,141329.25,2151384.05,69023929.94,2015
2016,16607337.33,14894447.82,1185118.44,171642.65,356128.42,12062049.2,5672207.01,87609.74,7344.65,5023.79,75241.3,6302232.45,205966.43,564213.86,2752898.95,1407504.32,196929.27,51431.11,152792.52,234495,220268.05,4716.98,169399.09,37394.36,304222.48,2520852.18,11669061.39,25071935.82,808597.29,679305.23,175.25,4686.63,60054.09,46584.26,17791.83,7858698.29,6053663.28,18127.9,734432.87,1052474.24,335245.15,231569.73,103675.42,619419.23,2027512.3,1748753.7,278758.6,4903604.64,2536292.03,14374.75,1569517.75,1518933.09,475690,146579.96,2257471.35,67931235.93,2016
2017,17179495.29,15437049.7,1204205.25,177326.97,360913.36,12314676.8,5938047.69,87732.32,7238,6097.14,74397.17,6288896.8,148916.39,551775.5,2817563.62,1419074.45,197977.82,51490.58,153994.53,239099.75,222440.87,4585.25,169684.98,29346.34,282946.71,2545991.32,11546445.65,24904371.28,839846.73,712168.24,176.65,4745.2,61155.63,46684.47,14916.54,7776896.97,5930246.07,18542.43,730211.66,1097896.81,377611.93,269620.92,107991.01,609465.66,2053001.84,1782325.91,270675.93,4694391.27,2529675.19,14466.5,1563619.55,1507982.79,474237.26,152629.9,2310545.71,68490980.34,2017
2018,17544147.74,15786437.68,1208128.04,182747.93,366834.08,12513067.38,5995875.07,96602.02,6817.23,7702.9,82081.9,6420590.28,143003.37,576627.31,2900145.03,1443029.85,201348.53,53259.9,154932.37,237958.11,225867.53,4757.11,168417.01,28600.15,282644.02,2605287.77,11473791,25663648.06,956641.32,815236.49,181.7,4881.37,73813.44,47598.18,14930.14,8527659.33,6602077.04,19661.4,727005.79,1178915.1,405072.4,289292.3,115780.1,620190.65,2094676.55,1807434.28,287242.27,4471861.75,2544135.68,14440.88,1531581.82,1507561.07,472701.6,156484.02,2360640.98,69799941.95,2018
